stock,year,a4,a5,a6,a7,n
aggregate,NA,1,6,65,28,100
aggregate,NA,0,9,59,32,100
aggregate,NA,0,5,77,18,100
aggregate,NA,1,15,27,57,100
aggregate,NA,3,19,57,21,100
aggregate,NA,5,21,65,10,101
aggregate,NA,2,29,48,22,101
aggregate,NA,6,17,73,3,99
aggregate,NA,5,29,55,12,101
aggregate,NA,2,29,54,15,100
aggregate,NA,6,13,69,12,100
aggregate,NA,3,46,32,19,100
aggregate,NA,4,12,81,3,100
aggregate,NA,5,44,40,11,100
aggregate,NA,1,18,79,2,100
aggregate,NA,6,26,54,14,100
aggregate,NA,2,25,61,12,100
aggregate,NA,8,25,53,14,100
aggregate,NA,1,29,63,7,100
aggregate,NA,5,20,70,5,100
aggregate,NA,2,31,61,6,100
aggregate,NA,5,51,43,1,100
aggregate,NA,6,40,54,1,101
aggregate,NA,3,56,37,5,101
aggregate,NA,8,33,59,0,100
aggregate,NA,7,46,42,4,99
aggregate,NA,2,30,60,8,100
aggregate,NA,7,30,59,4,100
aggregate,NA,4,28,63,5,100
aggregate,NA,7,50,40,3,100
aggregate,NA,11,34,52,2,99
aggregate,NA,9,65,25,1,100
aggregate,NA,4,46,48,1,99
aggregate,NA,10,43,45,2,100
aggregate,NA,8,48,42,1,99
LwrMain,NA,NA,NA,NA,NA,NA
LwrMain,NA,NA,NA,NA,NA,NA
LwrMain,NA,NA,NA,NA,NA,NA
LwrMain,NA,NA,NA,NA,NA,NA
LwrMain,NA,NA,NA,NA,NA,NA
LwrMain,NA,NA,NA,NA,NA,NA
LwrMain,NA,NA,NA,NA,NA,NA
LwrMain,NA,NA,NA,NA,NA,NA
LwrMain,NA,NA,NA,NA,NA,NA
LwrMain,NA,NA,NA,NA,NA,NA
LwrMain,NA,NA,NA,NA,NA,NA
LwrMain,NA,NA,NA,NA,NA,NA
LwrMain,NA,NA,NA,NA,NA,NA
LwrMain,NA,NA,NA,NA,NA,NA
LwrMain,NA,NA,NA,NA,NA,NA
LwrMain,NA,NA,NA,NA,NA,NA
LwrMain,NA,NA,NA,NA,NA,NA
LwrMain,NA,NA,NA,NA,NA,NA
LwrMain,NA,NA,NA,NA,NA,NA
LwrMain,NA,NA,NA,NA,NA,NA
LwrMain,NA,NA,NA,NA,NA,NA
LwrMain,NA,NA,NA,NA,NA,NA
LwrMain,NA,NA,NA,NA,NA,NA
LwrMain,NA,0,18,9,0,27
LwrMain,NA,4,15,42,0,61
LwrMain,NA,1,8,2,0,11
LwrMain,NA,0,7,18,2,27
LwrMain,NA,1,5,3,0,9
LwrMain,NA,0,0,2,0,2
LwrMain,NA,1,17,0,0,18
LwrMain,NA,6,9,25,2,42
LwrMain,NA,5,21,3,0,29
LwrMain,NA,0,18,18,0,36
LwrMain,NA,4,16,6,1,27
LwrMain,NA,NA,NA,NA,NA,NA
Stewart,NA,NA,NA,NA,NA,NA
Stewart,NA,NA,NA,NA,NA,NA
Stewart,NA,NA,NA,NA,NA,NA
Stewart,NA,NA,NA,NA,NA,NA
Stewart,NA,NA,NA,NA,NA,NA
Stewart,NA,NA,NA,NA,NA,NA
Stewart,NA,NA,NA,NA,NA,NA
Stewart,NA,NA,NA,NA,NA,NA
Stewart,NA,NA,NA,NA,NA,NA
Stewart,NA,NA,NA,NA,NA,NA
Stewart,NA,NA,NA,NA,NA,NA
Stewart,NA,NA,NA,NA,NA,NA
Stewart,NA,NA,NA,NA,NA,NA
Stewart,NA,NA,NA,NA,NA,NA
Stewart,NA,NA,NA,NA,NA,NA
Stewart,NA,NA,NA,NA,NA,NA
Stewart,NA,NA,NA,NA,NA,NA
Stewart,NA,NA,NA,NA,NA,NA
Stewart,NA,NA,NA,NA,NA,NA
Stewart,NA,NA,NA,NA,NA,NA
Stewart,NA,NA,NA,NA,NA,NA
Stewart,NA,NA,NA,NA,NA,NA
Stewart,NA,NA,NA,NA,NA,NA
Stewart,NA,0,19,8,1,28
Stewart,NA,3,10,29,0,42
Stewart,NA,1,9,4,0,14
Stewart,NA,1,9,9,0,19
Stewart,NA,0,4,7,0,11
Stewart,NA,0,2,2,0,4
Stewart,NA,1,18,6,2,27
Stewart,NA,8,15,29,0,52
Stewart,NA,1,16,2,0,19
Stewart,NA,0,10,7,0,17
Stewart,NA,2,9,9,0,20
Stewart,NA,NA,NA,NA,NA,NA
Pelly,NA,NA,NA,NA,NA,NA
Pelly,NA,NA,NA,NA,NA,NA
Pelly,NA,NA,NA,NA,NA,NA
Pelly,NA,NA,NA,NA,NA,NA
Pelly,NA,NA,NA,NA,NA,NA
Pelly,NA,NA,NA,NA,NA,NA
Pelly,NA,NA,NA,NA,NA,NA
Pelly,NA,NA,NA,NA,NA,NA
Pelly,NA,NA,NA,NA,NA,NA
Pelly,NA,NA,NA,NA,NA,NA
Pelly,NA,NA,NA,NA,NA,NA
Pelly,NA,NA,NA,NA,NA,NA
Pelly,NA,NA,NA,NA,NA,NA
Pelly,NA,NA,NA,NA,NA,NA
Pelly,NA,NA,NA,NA,NA,NA
Pelly,NA,NA,NA,NA,NA,NA
Pelly,NA,NA,NA,NA,NA,NA
Pelly,NA,NA,NA,NA,NA,NA
Pelly,NA,NA,NA,NA,NA,NA
Pelly,NA,NA,NA,NA,NA,NA
Pelly,NA,NA,NA,NA,NA,NA
Pelly,NA,NA,NA,NA,NA,NA
Pelly,NA,NA,NA,NA,NA,NA
Pelly,NA,0,39,18,3,60
Pelly,NA,12,54,93,0,159
Pelly,NA,1,23,17,2,43
Pelly,NA,1,34,66,6,107
Pelly,NA,1,3,13,0,17
Pelly,NA,2,10,30,1,43
Pelly,NA,4,59,27,1,91
Pelly,NA,17,61,101,4,183
Pelly,NA,11,61,22,1,95
Pelly,NA,4,48,40,0,92
Pelly,NA,4,25,28,0,57
Pelly,NA,NA,NA,NA,NA,NA
White-Donjek,NA,NA,NA,NA,NA,NA
White-Donjek,NA,NA,NA,NA,NA,NA
White-Donjek,NA,NA,NA,NA,NA,NA
White-Donjek,NA,NA,NA,NA,NA,NA
White-Donjek,NA,NA,NA,NA,NA,NA
White-Donjek,NA,NA,NA,NA,NA,NA
White-Donjek,NA,NA,NA,NA,NA,NA
White-Donjek,NA,NA,NA,NA,NA,NA
White-Donjek,NA,NA,NA,NA,NA,NA
White-Donjek,NA,NA,NA,NA,NA,NA
White-Donjek,NA,NA,NA,NA,NA,NA
White-Donjek,NA,NA,NA,NA,NA,NA
White-Donjek,NA,NA,NA,NA,NA,NA
White-Donjek,NA,NA,NA,NA,NA,NA
White-Donjek,NA,NA,NA,NA,NA,NA
White-Donjek,NA,NA,NA,NA,NA,NA
White-Donjek,NA,NA,NA,NA,NA,NA
White-Donjek,NA,NA,NA,NA,NA,NA
White-Donjek,NA,NA,NA,NA,NA,NA
White-Donjek,NA,NA,NA,NA,NA,NA
White-Donjek,NA,NA,NA,NA,NA,NA
White-Donjek,NA,NA,NA,NA,NA,NA
White-Donjek,NA,NA,NA,NA,NA,NA
White-Donjek,NA,0,14,4,0,18
White-Donjek,NA,5,23,30,0,58
White-Donjek,NA,4,23,12,2,41
White-Donjek,NA,0,5,12,0,17
White-Donjek,NA,1,6,15,0,22
White-Donjek,NA,0,1,5,1,7
White-Donjek,NA,2,23,15,0,40
White-Donjek,NA,11,20,33,1,65
White-Donjek,NA,4,33,8,0,45
White-Donjek,NA,1,9,18,0,28
White-Donjek,NA,5,10,18,0,33
White-Donjek,NA,NA,NA,NA,NA,NA
MidMain,NA,NA,NA,NA,NA,NA
MidMain,NA,NA,NA,NA,NA,NA
MidMain,NA,NA,NA,NA,NA,NA
MidMain,NA,NA,NA,NA,NA,NA
MidMain,NA,NA,NA,NA,NA,NA
MidMain,NA,NA,NA,NA,NA,NA
MidMain,NA,NA,NA,NA,NA,NA
MidMain,NA,NA,NA,NA,NA,NA
MidMain,NA,NA,NA,NA,NA,NA
MidMain,NA,NA,NA,NA,NA,NA
MidMain,NA,NA,NA,NA,NA,NA
MidMain,NA,NA,NA,NA,NA,NA
MidMain,NA,NA,NA,NA,NA,NA
MidMain,NA,NA,NA,NA,NA,NA
MidMain,NA,NA,NA,NA,NA,NA
MidMain,NA,NA,NA,NA,NA,NA
MidMain,NA,NA,NA,NA,NA,NA
MidMain,NA,NA,NA,NA,NA,NA
MidMain,NA,NA,NA,NA,NA,NA
MidMain,NA,NA,NA,NA,NA,NA
MidMain,NA,NA,NA,NA,NA,NA
MidMain,NA,NA,NA,NA,NA,NA
MidMain,NA,NA,NA,NA,NA,NA
MidMain,NA,0,12,7,1,20
MidMain,NA,5,26,61,0,92
MidMain,NA,4,19,24,2,49
MidMain,NA,0,11,32,1,44
MidMain,NA,0,10,18,1,29
MidMain,NA,0,8,24,2,34
MidMain,NA,4,22,28,3,57
MidMain,NA,13,59,82,3,157
MidMain,NA,2,64,23,0,89
MidMain,NA,10,67,68,1,146
MidMain,NA,22,71,72,2,167
MidMain,NA,NA,NA,NA,NA,NA
Carmacks,NA,NA,NA,NA,NA,NA
Carmacks,NA,NA,NA,NA,NA,NA
Carmacks,NA,NA,NA,NA,NA,NA
Carmacks,NA,NA,NA,NA,NA,NA
Carmacks,NA,NA,NA,NA,NA,NA
Carmacks,NA,NA,NA,NA,NA,NA
Carmacks,NA,NA,NA,NA,NA,NA
Carmacks,NA,NA,NA,NA,NA,NA
Carmacks,NA,NA,NA,NA,NA,NA
Carmacks,NA,NA,NA,NA,NA,NA
Carmacks,NA,NA,NA,NA,NA,NA
Carmacks,NA,NA,NA,NA,NA,NA
Carmacks,NA,NA,NA,NA,NA,NA
Carmacks,NA,NA,NA,NA,NA,NA
Carmacks,NA,NA,NA,NA,NA,NA
Carmacks,NA,NA,NA,NA,NA,NA
Carmacks,NA,NA,NA,NA,NA,NA
Carmacks,NA,NA,NA,NA,NA,NA
Carmacks,NA,NA,NA,NA,NA,NA
Carmacks,NA,NA,NA,NA,NA,NA
Carmacks,NA,NA,NA,NA,NA,NA
Carmacks,NA,NA,NA,NA,NA,NA
Carmacks,NA,NA,NA,NA,NA,NA
Carmacks,NA,0,2,3,1,6
Carmacks,NA,2,14,30,0,46
Carmacks,NA,1,8,26,3,38
Carmacks,NA,0,12,36,17,65
Carmacks,NA,2,9,15,2,28
Carmacks,NA,1,9,18,1,29
Carmacks,NA,2,18,22,1,43
Carmacks,NA,7,15,50,2,74
Carmacks,NA,8,71,20,0,99
Carmacks,NA,2,25,54,2,83
Carmacks,NA,3,21,31,3,58
Carmacks,NA,NA,NA,NA,NA,NA
UprLksMain,NA,NA,NA,NA,NA,NA
UprLksMain,NA,NA,NA,NA,NA,NA
UprLksMain,NA,NA,NA,NA,NA,NA
UprLksMain,NA,NA,NA,NA,NA,NA
UprLksMain,NA,NA,NA,NA,NA,NA
UprLksMain,NA,NA,NA,NA,NA,NA
UprLksMain,NA,NA,NA,NA,NA,NA
UprLksMain,NA,NA,NA,NA,NA,NA
UprLksMain,NA,NA,NA,NA,NA,NA
UprLksMain,NA,NA,NA,NA,NA,NA
UprLksMain,NA,NA,NA,NA,NA,NA
UprLksMain,NA,NA,NA,NA,NA,NA
UprLksMain,NA,NA,NA,NA,NA,NA
UprLksMain,NA,NA,NA,NA,NA,NA
UprLksMain,NA,NA,NA,NA,NA,NA
UprLksMain,NA,NA,NA,NA,NA,NA
UprLksMain,NA,NA,NA,NA,NA,NA
UprLksMain,NA,NA,NA,NA,NA,NA
UprLksMain,NA,NA,NA,NA,NA,NA
UprLksMain,NA,NA,NA,NA,NA,NA
UprLksMain,NA,NA,NA,NA,NA,NA
UprLksMain,NA,NA,NA,NA,NA,NA
UprLksMain,NA,NA,NA,NA,NA,NA
UprLksMain,NA,3,57,58,9,127
UprLksMain,NA,13,43,61,0,117
UprLksMain,NA,13,55,45,5,118
UprLksMain,NA,4,38,61,6,109
UprLksMain,NA,11,34,68,5,118
UprLksMain,NA,8,37,77,5,127
UprLksMain,NA,22,132,133,8,295
UprLksMain,NA,39,125,140,4,308
UprLksMain,NA,21,139,71,2,233
UprLksMain,NA,13,114,84,2,213
UprLksMain,NA,28,116,114,4,262
UprLksMain,NA,NA,NA,NA,NA,NA
Teslin,NA,NA,NA,NA,NA,NA
Teslin,NA,NA,NA,NA,NA,NA
Teslin,NA,NA,NA,NA,NA,NA
Teslin,NA,NA,NA,NA,NA,NA
Teslin,NA,NA,NA,NA,NA,NA
Teslin,NA,NA,NA,NA,NA,NA
Teslin,NA,NA,NA,NA,NA,NA
Teslin,NA,NA,NA,NA,NA,NA
Teslin,NA,NA,NA,NA,NA,NA
Teslin,NA,NA,NA,NA,NA,NA
Teslin,NA,NA,NA,NA,NA,NA
Teslin,NA,NA,NA,NA,NA,NA
Teslin,NA,NA,NA,NA,NA,NA
Teslin,NA,NA,NA,NA,NA,NA
Teslin,NA,NA,NA,NA,NA,NA
Teslin,NA,NA,NA,NA,NA,NA
Teslin,NA,NA,NA,NA,NA,NA
Teslin,NA,NA,NA,NA,NA,NA
Teslin,NA,NA,NA,NA,NA,NA
Teslin,NA,NA,NA,NA,NA,NA
Teslin,NA,NA,NA,NA,NA,NA
Teslin,NA,NA,NA,NA,NA,NA
Teslin,NA,NA,NA,NA,NA,NA
Teslin,NA,0,1,0,0,1
Teslin,NA,1,8,5,0,14
Teslin,NA,0,10,11,0,21
Teslin,NA,2,4,10,0,16
Teslin,NA,1,4,7,3,15
Teslin,NA,0,5,10,3,18
Teslin,NA,4,12,9,1,26
Teslin,NA,2,13,21,4,40
Teslin,NA,6,23,14,1,44
Teslin,NA,0,16,20,1,37
Teslin,NA,2,30,25,2,59
Teslin,NA,NA,NA,NA,NA,NA
